Business Agency Name,Address,City,State,Zip,County,Hours,Sponsoring Program,Dataset,Date Geocoded,Longitude,Latitude,Full Address
Boulder County Sheriff's Office,5600 Flatiron Parkway,Boulder,CO,80301,Boulder,"M-F, 8-5. Closed holidays.",CO Household Medication Take-Back Program,Colorado Household Medication Collection Locations,7/1/2016,-105.222759,40.023514,"5600 Flatiron Parkway, Boulder, CO, 80301"
Lafayette Police Department,451 N. 111th Street,Lafayette,CO,80026,Boulder,"M-F, 8-5. Closed holidays.",CO Household Medication Take-Back Program,Colorado Household Medication Collection Locations,7/1/2016,-105.093533,40.001675,"451 N. 111th Street, Lafayette, CO, 80026"
Nederland Police Department,20 Lakeview Drive,Nederland,CO,80466,Boulder,"M-F, 8-5. Closed holidays.",CO Household Medication Take-Back Program,Colorado Household Medication Collection Locations,12/29/2016,-105.50988,39.960541,"20 Lakeview Drive, Nederland, CO, 80466"
CU-Boulder Police Department,1050 Regent Drive,Boulder,CO,80309,Boulder,24/7. Open holidays.,CO Household Medication Take-Back Program,Colorado Household Medication Collection Locations,12/29/2016,-105.261078,40.006796,"1050 Regent Drive, Boulder, CO, 80309"
Flatirons Family Pharmacy,603 Ken Pratt Boulevard,Longmont,CO,80501,Boulder,"M-F, 9-7. SA, 9-1. Closed holidays.",CO Household Medication Take-Back Program,Colorado Household Medication Collection Locations,12/29/2016,-105.103409,40.152306,"603 Ken Pratt Boulevard, Longmont, CO, 80501"
Longmont Department of Public Safety,225 Kimbark Street,Longmont,CO,80501,Boulder,"M-SU, 6am-9pm. Open holidays.",CO Household Medication Take-Back Program,Colorado Household Medication Collection Locations,5/3/2017,-105.101235,40.163132,"225 Kimbark Street, Longmont, CO 80501"
Beattie's Community Pharmacy,"3140 Village Vista Drive, Suite 100",Erie,CO,80516,Boulder,"M-F, 9-6. SA, 9-noon. Closed holidays",CO Household Medication Take-Back Program,Colorado Household Medication Collection Locations,6/28/2017,-105.019982,40.000937,"3140 Village Vista Drive, Suite 100, Erie, CO 80516"
Good Samaritan Hospital,200 Exempla Circle,Lafayette,CO,80026,Boulder,"M-F, 8:30-9. SA and holidays, 9:30-6.",CO Household Medication Take-Back Program,Colorado Household Medication Collection Locations,7/25/2017,-105.086367,39.970501,"200 Exempla Circle, Lafayette, CO 80026"
Genoa Pharmacy,975 North Street (Norton Building),Boulder,CO,80304,Boulder,"M-F, 8:30-5, except noon-12:30. Closed holidays.",CO Household Medication Take-Back Program,Colorado Household Medication Collection Locations,10/3/2017,-105.284073,40.02465,"975 North Street (Norton Building), Boulder, CO 80304"
Louisville Police Department,992 W. Via Appia Way,Louisville,CO,80027,Boulder,"M-F, 8-5. Closed holidays.",CO Household Medication Take-Back Program,Colorado Household Medication Collection Locations,3/5/2018,-105.163214,39.972823,"992 W. Via Appia Way, Louisville, CO 80027"
Boulder Community Health - Foothills Hospital,4747 Arapahoe Avenue,Boulder,CO,80303,Boulder,24/7. Open holidays.,CO Household Medication Take-Back Program,Colorado Household Medication Collection Locations,9/4/2018,-105.236394,40.016371,"4747 Arapahoe Avenue, Boulder, CO 80303"
Broomfield Police Department,7 Descombes Drive,Broomfield,CO,80020,Broomfield,"M-F, 8-5. Closed holidays.",CO Household Medication Take-Back Program,Colorado Household Medication Collection Locations,10/3/2017,-105.068265,39.920511,"7 Descombes Drive, Broomfield, CO 80020"
Walgreens,5190 W. 120th Avenue,Broomfield,CO,80020,Broomfield,Call 303-410-1105 for pharmacy hours.,Walgreens,Colorado Household Medication Collection Locations,11/5/2018,-105.052162,39.913071,"5190 W. 120th Avenue, Broomfield, CO 80020"
Buena Vista Drug,403 US Highway 24 South,Buena Vista,CO,81211,Chaffee,"M-F, 8:30-6. SA, 9-6 (summer) 9-4 (winter). Closed holidays.",CO Household Medication Take-Back Program,Colorado Household Medication Collection Locations,12/29/2016,-106.13027,38.838239,"403 US Highway 24 South, Buena Vista, CO, 81211"
Chaffee County Sheriff's Office,641 W. 3rd Street,Salida,CO,81201,Chaffee,"M-Th, 8-5. Closed holidays.",CO Household Medication Take-Back Program,Colorado Household Medication Collection Locations,10/3/2017,-105.998092,38.538363,"641 W. 3rd Street, Salida, CO 81201"
Cheyenne County Sheriff's Office,91 E. 1st Street,Cheyenne Wells,CO,80810,Cheyenne,"M-F, 8-4. Closed holidays.",CO Household Medication Take-Back Program,Colorado Household Medication Collection Locations,12/4/2017,-102.35023,38.821109,"91 E. 1st Street, Cheyenne Wells, CO 80810"
Clear Creek County Sheriff's Office,405 Argentine Street,Georgetown,CO,80444,Clear Creek,"M-F, 8-5. Closed holidays.",CO Household Medication Take-Back Program,Colorado Household Medication Collection Locations,4/7/2017,-105.698568,39.705814,"405 Argentine Street, Georgetown, CO 80444"
La Jara Pharmacy,412 Main Street,La Jara,CO,81140,Conejos,"M-F, 8-6. SA, 9-5. Closed holidays.",CO Household Medication Take-Back Program,Colorado Household Medication Collection Locations,4/30/2018,-105.959729,37.274753,"412 Main Street, La Jara, CO 81140"
Costilla County Sheriff's Office,103 Gasper Street,San Luis,CO,81152,Costilla,24/7. Open holidays.,CO Household Medication Take-Back Program,Colorado Household Medication Collection Locations,4/18/2018,-105.426151,37.198118,"103 Gasper Street, San Luis, CO 81152"
Ordway Pharmacy,231 Main Street,Ordway,CO,81063,Crowley,"M-F, 9-6. Closed holidays.",CO Household Medication Take-Back Program,Colorado Household Medication Collection Locations,12/29/2016,-103.756714,38.216782,"231 Main Street, Ordway, CO, 81063"
Custer County Sheriff's Office,702 Rosita Avenue,Westcliffe,CO,81252,Custer,"M-F, 8-5. Closed holidays.",CO Household Medication Take-Back Program,Colorado Household Medication Collection Locations,10/3/2017,-105.462371,38.134425,"702 Rosita Avenue, Westcliffe, CO 81252"
Hotchkiss Marshal's Office,276 W. Main Street,Hotchkiss,CO,81419,Delta,"M-F, 8-4. Closed holidays.",CO Household Medication Take-Back Program,Colorado Household Medication Collection Locations,6/28/2017,-107.723837,38.800282,"276 W. Main Street, Hotchkiss, CO 81419"
Delta County Sheriff's Office,555 Palmer Street,Delta,CO,81416,Delta,"M-F, 8-5. Closed holidays.",CO Household Medication Take-Back Program,Colorado Household Medication Collection Locations,3/29/2018,-108.072627,38.73964,"555 Palmer Street, Delta, CO, 81416"
Cedaredge Pharmacy,210 SE Independence Avenue,Cedaredge,CO,81413,Delta,"M-F, 9-6. SA, 9-4. Closed holidays.",Independent,Colorado Household Medication Collection Locations,6/25/2018,-107.926797,38.891614,"210 SE Independence Avenue, Cedaredge, CO, 81413"
Walgreens,1111 S. Colorado Boulevard,Denver,CO,80246,Denver,Call 303-758-8083 for pharmacy hours.,Walgreens,Colorado Household Medication Collection Locations,7/1/2016,-104.940903,39.696347,"1111 S. Colorado Boulevard, Denver, CO, 80246"
Glendale Police Department,950 S. Birch Street,Glendale,CO,80246,Denver,24/7. Open holidays.,CO Household Medication Take-Back Program,Colorado Household Medication Collection Locations,7/1/2016,-104.936275,39.699305,"950 S. Birch Street, Glendale, CO, 80246"
National Jewish Hospital,1400 Jackson Street,Denver,CO,80206,Denver,"M-F, 8:30-6. Closed holidays.",CO Household Medication Take-Back Program,Colorado Household Medication Collection Locations,12/29/2016,-104.94239,39.739239,"1400 Jackson Street, Denver, CO, 80206"
Denver Health - Eastside Neighborhood Health Center,501 28th Street,Denver,CO,80205,Denver,"M-F, 9-5:30. Closed holidays.",CO Household Medication Take-Back Program,Colorado Household Medication Collection Locations,12/29/2016,-104.976097,39.755268,"501 28th Street, Denver, CO, 80205"
Denver Health - Westside Neighborhood Health Center,1100 Federal Boulevard,Denver,CO,80204,Denver,"M-F, 9-5:30. SA, 8-noon. Closed holidays.",CO Household Medication Take-Back Program,Colorado Household Medication Collection Locations,12/29/2016,-105.025131,39.734829,"1100 Federal Boulevard, Denver, CO, 80204"
Denver Health - Primary Care Pharmacy,301 W. 6th Avenue,Denver,CO,80204,Denver,"M-F, 8-7. SA-SU, 9-5. Closed Thanksgiving, Christmas, New Years",CO Household Medication Take-Back Program,Colorado Household Medication Collection Locations,12/29/2016,-104.992424,39.725719,"301 W. 6th Avenue, Denver, CO, 80204"
Denver Health - La Casa Quigg Newton Health Center Pharmacy,4545 Navajo Street,Denver,CO,80211,Denver,"M-F, 9-5:30. Closed holidays.",CO Household Medication Take-Back Program,Colorado Household Medication Collection Locations,12/29/2016,-105.00425,39.779171,"4545 Navajo Street, Denver, CO, 80211"
Denver Health - Montbello Family Health Center Pharmacy,12600 E. Albrook Drive,Denver,CO,80239,Denver,"M-F, 9-5. SA, 8-noon. Closed holidays.",CO Household Medication Take-Back Program,Colorado Household Medication Collection Locations,12/29/2016,-104.8439,39.781202,"12600 E. Albrook Drive, Denver, CO, 80239"
Denver Health - Lowry Family Health Center Pharmacy,1001 Yosemite Street,Denver,CO,80230,Denver,"M-F, 8-6:30. Closed holidays.",CO Household Medication Take-Back Program,Colorado Household Medication Collection Locations,12/29/2016,-104.88546,39.730171,"1001 Yosemite Street, Denver, CO, 80230"
Denver Health - Federico F. Pena Family Health Center,1339 S. Federal Boulevard,Denver,CO,80219,Denver,"M-F, 9-7. SA, 9-5. Closed holidays.",CO Household Medication Take-Back Program,Colorado Household Medication Collection Locations,12/29/2016,-105.025124,39.692139,"1339 S. Federal Boulevard, Denver, CO, 80219"
MHCD Pharmacy,4455 E. 12th Avenue,Denver,CO,80220,Denver,"M, W, TH, F, 8-5:30. TU, 10-5:30. Closed holidays.",CO Household Medication Take-Back Program,Colorado Household Medication Collection Locations,12/29/2016,-104.935097,39.734734,"4455 E. 12th Avenue, Denver, CO, 80220"
Scales Pharmacy,1999 Pennsylvania Street,Denver,CO,80203,Denver,"M-F, 9-8. SA, 10-4. Closed holidays.",CO Household Medication Take-Back Program,Colorado Household Medication Collection Locations,12/29/2016,-104.981105,39.74734,"1999 Pennsylvania Street, Denver, CO, 80203"
Wellshire Pharmacy,4141 E. Dickenson Place,Denver,CO,80222,Denver,"M, W, TH, F, 8-5:30. TU, 10-5:30. Closed holidays.",CO Household Medication Take-Back Program,Colorado Household Medication Collection Locations,12/29/2016,-104.939545,39.67194,"4141 E. Dickenson Place, Denver, CO, 80222"
Kaiser-Permanente,10400 E. Alameda Avenue,Denver,CO,80231,Denver,"M-F, 8-6. SA, 8-4. SU, 9-4. Closed holidays.",Kaiser-Permanente,Colorado Household Medication Collection Locations,6/28/2017,-104.868793,39.709999,"10400 E. Alameda Avenue, Denver, CO 80231"
Kaiser-Permanente,"2045 Franklin Street, Floor 1",Denver,CO,80205,Denver,"M-F, 8-6. Closed holidays.",Kaiser-Permanente,Colorado Household Medication Collection Locations,8/29/2017,-104.969603,39.747585,"2045 Franklin Street, Floor 1, Denver, CO 80205"
St. Joseph's Hospital Outpatient Pharmacy,"1375 E. 19th Avenue, Suite 1665",Denver,CO,80218,Denver,"M-F, 8-8. SA-SU and holidays, 8:30-5.",CO Household Medication Take-Back Program,Colorado Household Medication Collection Locations,3/29/2018,-104.971845,39.746297,"1375 E. 19th Avenue, Suite 1665, Denver, CO, 80218"
Stout Street Health Center,2130 Stout Street,Denver,CO,80205,Denver,"M-TU, 7-4. W, 11-6. TH-F, 7-4. Closed holidays.",CO Household Medication Take-Back Program,Colorado Household Medication Collection Locations,5/17/2018,-104.986151,39.750781,"2130 Stout Street, Denver, CO 80205"
Walgreens,2975 Federal Boulvard,Denver,CO,80211,Denver,Call 303-433-8911 for pharmacy hours.,Walgreens,Colorado Household Medication Collection Locations,11/5/2018,-105.025872,39.759936,"2975 Federal Boulvard, Denver, CO 80211"
CVS Pharmacy,3770 Sheridan Boulevard,Denver,CO,80235,Denver,24/7. Open holidays.,Independent,Colorado Household Medication Collection Locations,11/14/2018,-105.052924,39.769015,"3770 Sheridan Boulevard, Denver, CO 80235"
Walgreens,9141 S. Broadway,Highlands Ranch,CO,80129,Douglas,Call 720-344-0700 for pharmacy hours.,Walgreens,Colorado Household Medication Collection Locations,7/1/2016,-104.991796,39.550596,"9141 S. Broadway, Highlands Ranch, CO, 80129"
Castle Rock Police Department,100 Perry Street,Castle Rock,CO,80104,Douglas,"M-F, 8-5. Closed holidays.",CO Household Medication Take-Back Program,Colorado Household Medication Collection Locations,7/1/2016,-104.858476,39.370521,"100 Perry Street, Castle Rock, CO, 80104"
AllHealth Network Pharmacy at Parker,"9397 Crown Crest Boulevard, Suite 101",Parker,CO,80138,Douglas,"M-F, 9-5:30. Closed holidays.",CO Household Medication Take-Back Program,Colorado Household Medication Collection Locations,4/7/2017,-104.770888,39.548072,"9397 Crown Crest Boulevard, Suite 101, Parker, CO 80138"
Kaiser-Permanente,10240 Park Meadows Drive,Lone Tree,CO,80124,Douglas,"M-F, 8-9. SA-SU, 8-6. Closed holidays.",Kaiser-Permanente,Colorado Household Medication Collection Locations,6/28/2017,-104.873372,39.545332,"10240 Park Meadows Drive, Lone Tree, CO 80124"
Parker Police Department,18600 E. Lincoln Meadows Parkway,Parker,CO,80134,Douglas,"M-F, 9-5. SA-SU, 10-5. Closed holidays.",CO Household Medication Take-Back Program,Colorado Household Medication Collection Locations,3/5/2018,-104.772058,39.53243,"18600 E. Lincoln Meadows Parkway, Parker, CO 80134"
Douglas County Sheriff's Office Highlands Ranch Substation,9250 Zotos Drive,Highlands Ranch,CO,80129,Douglas,"M-F, 8-5. Closed holidays.",CO Household Medication Take-Back Program,Colorado Household Medication Collection Locations,8/14/2018,-104.996847,39.548307,"9250 Zotos Drive, Highlands Ranch, CO 80129"
Walgreens,6650 Timberline Road,Highlands Ranch,CO,80130,Douglas,Call 303-791-1523 for pharmacy hours.,Walgreens,Colorado Household Medication Collection Locations,11/5/2018,-104.912331,39.541849,"6650 Timberline Road, Highlands Ranch, CO 80130"
CVS Pharmacy,16920 Lincoln Avenue,Parker,CO,80134,Douglas,24/7. Open holidays.,Independent,Colorado Household Medication Collection Locations,11/14/2018,-104.79273,39.533291,"16920 Lincoln Avenue, Parker, CO 80134"
Eagle County Sheriff's Office,885 Chambers Avenue,Eagle,CO,81631,Eagle,"M-F, 8-5. Closed holidays.",CO Household Medication Take-Back Program,Colorado Household Medication Collection Locations,7/1/2016,-106.817207,39.663749,"885 Chambers Avenue, Eagle, CO, 81631"
Town of Vail Police Department,75 S. Frontage Road West,Vail,CO,81657,Eagle,"M-SA, 7-7. Closed holidays.",CO Household Medication Take-Back Program,Colorado Household Medication Collection Locations,5/3/2017,-106.379825,39.643965,"75 S. Frontage Road West, Vail, CO 81657"
Avon Police Department,60 Buck Creek Road,Avon,CO,81620,Eagle,"M-F, 8-5. Closed holidays.",CO Household Medication Take-Back Program,Colorado Household Medication Collection Locations,3/15/2018,-106.522947,39.639864,"60 Buck Creek Road, Avon, CO 81620"
Walgreens,3480 N. Academy Boulevard,Colorado Springs,CO,80917,El Paso,Call 719-380-9438 for pharmacy hours.,Walgreens,Colorado Household Medication Collection Locations,7/1/2016,-104.757297,38.881916,"3480 N. Academy Boulevard, Colorado Springs, CO, 80917"
Fountain Police Department,222 N. Santa Fe Avenue,Fountain,CO,80817,El Paso,Call 719-382-8555 for agency hours.,Independent,Colorado Household Medication Collection Locations,7/1/2016,-104.704272,38.685004,"222 N. Santa Fe Avenue, Fountain, CO, 80817"
Monument Police Department,645 Beacon Lite Road,Monument,CO,80132,El Paso,"M-F, 8-5. Closed holidays.",CO Household Medication Take-Back Program,Colorado Household Medication Collection Locations,7/1/2016,-104.868256,39.097411,"645 Beacon Lite Road, Monument, CO, 80132"
Manitou Springs Police Department,606 Manitou Avenue,Manitou Springs,CO,80829,El Paso,24/7. Open holidays.,CO Household Medication Take-Back Program,Colorado Household Medication Collection Locations,5/3/2017,-104.912801,38.857886,"606 Manitou Avenue, Manitou Springs, CO 80829"
Penrose Hospital,2222 N. Nevada Avenue,Colorado Springs,CO,80907,El Paso,"M-F, 9-5. Closed holidays.",CO Household Medication Take-Back Program,Colorado Household Medication Collection Locations,7/25/2017,-104.82175,38.865536,"2222 N. Nevada Avenue, Colorado Springs, CO 80907"
Kaiser-Permanente,"4105 Briargate Parkway, Suite 125",Colorado Springs,CO,80920,El Paso,"M-F, 8:30-5:30. Closed holidays.",Kaiser-Permanente,Colorado Household Medication Collection Locations,8/29/2017,-104.754868,38.965721,"4105 Briargate Parkway, Suite 125, Colorado Springs, CO 80920"
Genoa Pharmacy,875 W. Moreno Avenue,Colorado Springs,CO,80905,El Paso,"M-F, 8:30-5. Closed holidays.",CO Household Medication Take-Back Program,Colorado Household Medication Collection Locations,3/29/2018,-104.84227,38.824792,"875 W. Moreno Avenue, Colorado Springs, CO, 80905"
Walgreens,4470 Royal Pine Drive,Colorado Springs,CO,80920,El Paso,Call 719-445-4160 for pharmacy hours.,Walgreens,Colorado Household Medication Collection Locations,11/5/2018,-104.745668,38.967475,"4470 Royal Pine Drive, Colorado Springs, CO 80920"
Elbert County Sheriff's Office,751 Ute Avenue,Kiowa,CO,80117,Elbert,24/7. Open holidays.,CO Household Medication Take-Back Program,Colorado Household Medication Collection Locations,11/1/2017,-104.464188,39.342358,"751 Ute Avenue, Kiowa, CO, 80117"
Canon City Police Department,161 Justice Center Road,Canon City,CO,81212,Fremont,Call 719-276-5600 for agency hours.,Independent,Colorado Household Medication Collection Locations,7/1/2016,-105.183392,38.445187,"161 Justice Center Road, Canon City, CO, 81212"
St. Thomas More Hospital,1338 Phay Avenue,Canon City,CO,81212,Fremont,"M-SU, 7-5:30. Open holidays",CO Household Medication Take-Back Program,Colorado Household Medication Collection Locations,6/8/2018,-105.231003,38.455248,"1338 Phay Avenue, Canon City, CO, 81212"
Glenwood Springs Police Department,101 W. 8th Street,Glenwood Springs,CO,81601,Garfield,Call 970-384-6500 for agency hours.,Independent,Colorado Household Medication Collection Locations,7/1/2016,-107.327304,39.547043,"101 W. 8th Street, Glenwood Springs, CO, 81601"
Grand River Medical Center,501 Airport Road,Rifle,CO,81650,Garfield,"M-F, 8-5. Closed holidays.",CO Household Medication Take-Back Program,Colorado Household Medication Collection Locations,12/29/2016,-107.771919,39.522533,"501 Airport Road, Rifle, CO, 81650"
Gilpin County Sheriff's Office,2960 Dory Hill Road,Black Hawk,CO,80422,Gilpin,"M-SU, 7-7. Open holidays.",CO Household Medication Take-Back Program,Colorado Household Medication Collection Locations,10/3/2017,-105.482021,39.839137,"2960 Dory Hill Road, Black Hawk, CO 80422"
Grand County Sheriff's Office,670 Spring Street,Hot Sulphur Springs,CO,80451,Grand,Call 970-725-3343 for agency hours.,Independent,Colorado Household Medication Collection Locations,7/1/2016,-106.104519,40.072123,"670 Spring Street, Hot Sulphur Springs, CO, 80451"
Granby Police Department,Zero W. Jasper Avenue,Granby,CO,80446,Grand,"M-F, 8-5. Closed holidays.",CO Household Medication Take-Back Program,Colorado Household Medication Collection Locations,1/22/2018,-105.942351,40.086818,"Zero W. Jasper Avenue, Granby, CO, 80446"
Gunnison Police Department,910 W. Bidwell Avenue,Gunnison,CO,81230,Gunnison,"M-F, 9-4. Closed holidays.",CO Household Medication Take-Back Program,Colorado Household Medication Collection Locations,12/29/2016,-106.93758,38.538987,"910 W. Bidwell Avenue, Gunnison, CO, 81230"
Crested Butte Marshal's Office,508 Maroon Avenue,Crested Butte,CO,81224,Gunnison,"M-F, 8-5. Closed holidays.",CO Household Medication Take-Back Program,Colorado Household Medication Collection Locations,12/29/2016,-106.980606,38.870625,"508 Maroon Avenue, Crested Butte, CO, 81224"
Hinsdale County Sheriff's Office,311 N. Henson Street,Lake City,CO,81235,Hinsdale,"M-F, 8:30-4. Closed holidays.",CO Household Medication Take-Back Program,Colorado Household Medication Collection Locations,6/25/2018,-107.314896,38.028331,"311 N. Henson Street, Lake City, CO, 81235"
Jackson County Sheriff's Office,396 LaFever Street,Walden,CO,80480,Jackson,24/7. Open holidays.,CO Household Medication Take-Back Program,Colorado Household Medication Collection Locations,6/8/2018,-106.283695,40.731522,"396 LaFever Street, Walden, CO, 80480"
Walgreens,4401 Wadsworth Boulevard,Wheat Ridge,CO,80033,Jefferson,Call 303-463-7719 for pharmacy hours.,Walgreens,Colorado Household Medication Collection Locations,7/1/2016,-105.081696,39.776844,"4401 Wadsworth Boulevard, Wheat Ridge, CO, 80033"
Wheat Ridge Professional Pharmacy,6650 W. 38th Avenue,Wheat Ridge,CO,80033,Jefferson,"M-F, 9-6. SA, 9-noon. Closed holidays.",CO Household Medication Take-Back Program,Colorado Household Medication Collection Locations,12/29/2016,-105.070374,39.769306,"6650 W. 38th Avenue, Wheat Ridge, CO, 80033"
Kaiser-Permanente,8383 W. Alameda Avenue,Lakewood,CO,80226,Jefferson,"M-F, 8-9. SA-SU, 8-6. Closed holidays.",Kaiser-Permanente,Colorado Household Medication Collection Locations,6/28/2017,-105.09012,39.711736,"8383 W. Alameda Avenue, Lakewood, CO 80226"
Kaiser-Permanente,7701 Sheridan Boulevard,Arvada,CO,80003,Jefferson,"M-F, 8-6. Closed holidays.",Kaiser-Permanente,Colorado Household Medication Collection Locations,8/29/2017,-105.053398,39.836231,"7701 Sheridan Boulevard, Arvada, CO 80003"
Kaiser-Permanente,4803 Ward Road,Wheat Ridge,CO,80033,Jefferson,"M-F, 8-6. Closed holidays.",Kaiser-Permanente,Colorado Household Medication Collection Locations,8/29/2017,-105.138054,39.783909,"4803 Ward Road, Wheat Ridge, CO 80033"
Golden Police Department,911 10th Street,Golden,CO,80401,Jefferson,"M-F, 8-5. Closed holidays.",CO Household Medication Take-Back Program,Colorado Household Medication Collection Locations,1/5/2018,-105.224271,39.756651,"911 10th Street, Golden, CO, 80401"
